t, v
0,-35.41
1,-35.327
2,-36.118
3,-37.729
4,-39.911
5,-42.254
6,-44.256
7,-45.423
8,-45.378
9,-43.958
10,-41.288
11,-37.799
12,-34.199
13,-31.385
14,-30.32
15,-31.877
16,-36.699
17,-45.07
18,-56.856
19,-71.494
20,-88.054
21,-105.36
22,-122.16
23,-137.27
24,-149.78
25,-159.11
26,-165.12
27,-168.06
28,-168.52
29,-167.27
30,-165.14
31,-162.85
32,-160.91
33,-159.51
34,-158.56
35,-157.72
36,-156.5
37,-154.37
38,-150.91
39,-145.91
40,-139.44
41,-131.8
42,-123.53
43,-115.31
44,-107.82
45,-101.62
46,-97.083
47,-94.333
48,-93.235
49,-93.444
50,-94.49
51,-95.88
52,-97.19
53,-98.139
54,-98.612
55,-98.643
56,-98.344
57,-97.805
58,-96.986
59,-95.615
60,-93.123
61,-88.633
62,-81.001
63,-68.919
64,-51.056
65,-26.212
66,6.527
67,47.662
68,97.208
69,154.68
70,219.11
71,289.18
72,363.28
73,439.65
74,516.52
75,592.17
76,664.96
77,733.41
78,796.14
79,851.86
80,899.39
81,937.62
82,965.54
83,982.34
84,987.44
85,980.56
86,961.83
87,931.82
88,891.52
89,842.33
90,785.93
91,724.22
92,659.11
93,592.44
94,525.84
95,460.65
96,397.87
97,338.2
98,282.06
99,229.67
100,181.15
101,136.56
102,95.955
103,59.422
104,27.049
105,-1.0917
106,-24.992
107,-44.747
108,-60.58
109,-72.842
110,-81.993
111,-88.551
112,-93.036
113,-95.909
114,-97.53
115,-98.129
116,-97.806
117,-96.565
118,-94.363
119,-91.164
120,-86.996
121,-81.986
122,-76.379
123,-70.518
124,-64.806
125,-59.642
126,-55.36
127,-52.175
128,-50.147
129,-49.17
130,-48.997
131,-49.289
132,-49.68
133,-49.843
134,-49.549
135,-48.705
136,-47.363
137,-45.704
138,-43.991
139,-42.514
140,-41.527
141,-41.203
142,-41.599
143,-42.648
144,-44.18
145,-45.956
146,-47.72
147,-49.244
148,-50.365
149,-51.008
150,-51.184
151,-50.978
152,-50.511
153,-49.907
154,-49.256
155,-48.602
156,-47.929
157,-47.173
158,-46.247
159,-45.068
160,-43.591
161,-41.824
162,-39.837
163,-37.755
164,-35.735
165,-33.939
166,-32.499
167,-31.497
168,-30.945
169,-30.786
170,-30.908
171,-31.164
172,-31.402
173,-31.489
174,-31.331
175,-30.877
176,-30.116
177,-29.068
178,-27.767
179,-26.245
180,-24.525
181,-22.616
182,-20.528
183,-18.28
184,-15.924
185,-13.546
186,-11.276
187,-9.2685
188,-7.6845
189,-6.6575
190,-6.2625
191,-6.4909
192,-7.2375
193,-8.3087
194,-9.4509
195,-10.392
196,-10.896
197,-10.811
198,-10.101
199,-8.8634
200,-7.3093
201,-5.7277
202,-4.425
203,-3.6585
204,-3.5771
205,-4.1865
206,-5.3409
207,-6.7675
208,-8.1242
209,-9.0728
210,-9.357
211,-8.8655
212,-7.6689
213,-6.0143
214,-4.2852
215,-2.9253
216,-2.3456
217,-2.8361
218,-4.4939
219,-7.1959
220,-10.611
221,-14.261
222,-17.613
223,-20.192
224,-21.679
225,-21.979
226,-21.246
227,-19.855
228,-18.316
229,-17.163
230,-16.832
231,-17.554
232,-19.288
233,-21.717
234,-24.304
235,-26.396
236,-27.37
237,-26.771
238,-24.427
239,-20.507
240,-15.512
241,-10.189
242,-5.394
243,-1.9183
244,-0.32168
245,-0.80566
246,-3.1495
247,-6.7357
248,-10.651
249,-13.85
250,-15.352
251,-14.426
252,-10.729
253,-4.3682
254,4.1263
255,13.917
256,24.038
257,33.591
258,41.928
259,48.778
260,54.289
261,58.965
262,63.53
263,68.726
264,75.105
265,82.849
266,91.68
267,100.85
268,109.26
269,115.66
270,118.85
271,118.01
272,112.83
273,103.63
274,91.355
275,77.397
276,63.396
277,50.929
278,41.225
279,34.95
280,32.098
281,32.006
282,33.513
283,35.207
284,35.732
285,34.078
286,29.795
287,23.092
288,14.796
289,6.1782
290,-1.3218
291,-6.4016
292,-8.1871
293,-6.4275
294,-1.5648
295,5.3433
296,12.834
297,19.336
298,23.498
299,24.474
300,22.099
301,16.931
302,10.131
303,3.2228
304,-2.2357
305,-4.984
306,-4.3309
307,-0.30763
308,6.3326
309,14.277
310,21.934
311,27.774
312,30.673
313,30.158
314,26.52
315,20.756
316,14.35
317,8.9521
318,5.9945
319,6.3627
320,10.172
321,16.71
322,24.567
323,31.923
324,36.944
325,38.19
326,34.963
327,27.501
328,16.983
329,5.3162
330,-5.2256
331,-12.474
332,-14.828
333,-11.617
334,-3.2799
335,8.6882
336,22.008
337,34.073
338,42.478
339,45.544
340,42.685
341,34.569
342,23.011
343,10.618
344,0.25545
345,-5.567
346,-5.2491
347,1.5112
348,13.599
349,28.663
350,43.565
351,55.027
352,60.333
353,57.954
354,47.942
355,32.014
356,13.283
357,-4.3232
358,-16.859
359,-21.195
360,-15.753
361,-0.95252
362,20.729
363,45.118
364,67.085
365,81.538
366,84.49
367,73.983
368,50.69
369,18.048
370,-18.132
371,-50.553
372,-71.673
373,-75.111
374,-56.974
375,-16.867
376,41.585
377,110.83
378,180.09
379,236.57
380,267.02
381,259.41
382,204.43
383,96.65
384,-64.764
385,-276
386,-529.01
387,-812.39
388,-1112.5
389,-1414.5
390,-1703.7
391,-1966.3
392,-2189.8
393,-2363.6
394,-2478.8
395,-2528.3
396,-2507.3
397,-2412.5
398,-2243.4
399,-2002
400,-1693.8
401,-1327.6
402,-916.19
403,-475.93
404,-25.931
405,412.91
406,819.46
407,1174.1
408,1460.3
409,1666.5
410,1786.7
411,1821.2
412,1776.6
413,1664.5
414,1500.2
415,1301.1
416,1085
417,867.77
418,662.63
419,478.97
420,322.17
421,193.88
422,92.74
423,15.336
424,-42.702
425,-85.765
426,-117.54
427,-140.64
428,-156.5
429,-165.67
430,-168.14
431,-163.85
432,-153.07
433,-136.66
434,-116.06
435,-93.234
436,-70.309
437,-49.251
438,-31.521
439,-17.844
440,-8.1268
441,-1.5532
442,3.1819
443,7.5432
444,12.81
445,19.786
446,28.632
447,38.853
448,49.426
449,59.056
450,66.479
451,70.762
452,71.519
453,69.012
454,64.1
455,58.061
456,52.33
457,48.192
458,46.53
459,47.642
460,51.197
461,56.312
462,61.763
463,66.238
464,68.626
465,68.239
466,64.954
467,59.223
468,51.963
469,44.361
470,37.612
